"","...1","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","AREA_HA_2023","AREA_HA_2024","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES"
"1",1,"CT","Timor Leste","ATA","Forereef","Mid",1,NA,"NOT","ATA","ATA","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","ATA","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"2",2,"CT","Timor Leste","ATA","Forereef","Shallow",1,NA,"NOT","ATA","ATA","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","ATA","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"3",3,"CT","Timor Leste","BAU","Forereef","Mid",1,NA,"NOT","BAU","BAU","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","BAU","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"4",4,"CT","Timor Leste","BAU","Forereef","Shallow",1,NA,"NOT","BAU","BAU","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","BAU","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"5",5,"CT","Timor Leste","BOB","Forereef","Mid",1,NA,"NOT","BOB","BOB","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","BOB","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"6",6,"CT","Timor Leste","BOB","Forereef","Shallow",1,NA,"NOT","BOB","BOB","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","BOB","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"7",7,"CT","Timor Leste","DIL","Forereef","Mid",1,NA,"NOT","DIL","DIL","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","DIL","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"8",8,"CT","Timor Leste","DIL","Forereef","Shallow",1,NA,"NOT","DIL","DIL","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","DIL","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"9",9,"CT","Timor Leste","LAU","Forereef","Mid",1,NA,"NOT","LAU","LAU","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","LAU","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"10",10,"CT","Timor Leste","LAU","Forereef","Shallow",1,NA,"NOT","LAU","LAU","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","LAU","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"11",11,"CT","Timor Leste","LIQ","Forereef","Mid",1,NA,"NOT","LIQ","LIQ","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","LIQ","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"12",12,"CT","Timor Leste","LIQ","Forereef","Shallow",1,NA,"NOT","LIQ","LIQ","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","LIQ","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"13",13,"CT","Timor Leste","MAN","Forereef","Mid",1,NA,"NOT","MAN","MAN","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","MAN","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"14",14,"CT","Timor Leste","MAN","Forereef","Shallow",1,NA,"NOT","MAN","MAN","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","MAN","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"15",15,"CT","Timor Leste","OEC","Forereef","Mid",1,NA,"NOT","OEC","OEC","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","OEC","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"16",16,"CT","Timor Leste","OEC","Forereef","Shallow",1,NA,"NOT","OEC","OEC","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","OEC","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"17",17,"CT","Timor Leste","VIL","Forereef","Mid",1,NA,"NOT","VIL","VIL","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","VIL","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"18",18,"CT","Timor Leste","VIL","Forereef","Shallow",1,NA,"NOT","VIL","VIL","NOT","NOT","NOT","NOT","Timor Leste","Timor Leste",NA,NA,NA,"Timor Leste","NOT","VIL","Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
"19",19,"MARIAN","11-mile bank","11-mile bank","Forereef","Deep",2.642415605,NA,"NOT","11-mile bank","11-mile bank","NOT","NOT","NOT","NOT","11-mile bank","11-mile bank",NA,NA,NA,"11-mile bank","NOT","11-mile bank",NA
